"comparison_type","comparison","gene_id","scenarios_detected","n_scenarios","directions","min_padj","max_abs_lfc"
"Diet contrasts among control","Control 83 vs 50","LOC126356047","Current outliers removed; Expanded outlier set",2,"Downregulated",0.040895117401568,3.89575475606674
"Diet contrasts among control","Control 83 vs 50","LOC126323732","Current outliers removed; Expanded outlier set",2,"Upregulated",0.0430151341374978,8.05032377928515
"Diet contrasts among control","Control 83 vs 50","LOC126299180","Current outliers removed; Expanded outlier set",2,"Upregulated",0.0465901254796072,3.64539610902449
"Diet contrasts among control","Control 83 vs 50","LOC126335259","All samples",1,"Downregulated",1.2709736689857e-08,23.7059929302828
"Diet contrasts among control","Control 83 vs 50","LOC126293368","All samples",1,"Upregulated",0.00237664203489955,1.42623527249416
"Diet contrasts among control","Control 83 vs 50","LOC126334910","All samples",1,"Upregulated",0.00237664203489955,1.49374191602803
"Diet contrasts among control","Control 83 vs 50","LOC126269845","All samples",1,"Upregulated",0.00595808182415194,1.67075424579382
"Diet contrasts among control","Control 83 vs 50","LOC126293737","All samples",1,"Upregulated",0.00595808182415194,1.29837345291624
"Diet contrasts among control","Control 83 vs 50","LOC126279018","All samples",1,"Upregulated",0.00866224846737002,1.37566848643664
"Diet contrasts among control","Control 83 vs 50","LOC126354610","All samples",1,"Upregulated",0.0115825053423318,1.45702416683858
"Diet contrasts among control","Control 83 vs 50","LOC126278953","All samples",1,"Upregulated",0.0128193798068666,1.23942647293484
"Diet contrasts among control","Control 83 vs 50","LOC126275659","All samples",1,"Upregulated",0.0131038663790906,1.15480532335239
"Diet contrasts among control","Control 83 vs 50","LOC126325353","All samples",1,"Upregulated",0.0198569935794676,1.27217877400603
"Diet contrasts among control","Control 83 vs 50","LOC126354577","All samples",1,"Upregulated",0.0198569935794676,4.99472291707483
"Diet contrasts among control","Control 83 vs 50","LOC126277892","All samples",1,"Upregulated",0.0206348449236559,1.55696418210494
"Diet contrasts among control","Control 83 vs 50","LOC126281483","All samples",1,"Upregulated",0.0211117014289927,1.66034431363229
"Diet contrasts among control","Control 83 vs 50","LOC126267222","All samples",1,"Upregulated",0.0282517276712862,1.10492346756466
"Diet contrasts among control","Control 83 vs 50","LOC126336648","All samples",1,"Upregulated",0.0338576694273892,2.5603465349525
"Diet contrasts among control","Control 83 vs 50","LOC126299365","All samples",1,"Upregulated",0.0358747853180485,1.08326133390357
"Diet contrasts among control","Control 83 vs 50","LOC126335467","All samples",1,"Upregulated",0.0386085008656733,1.84695314550263
"Diet contrasts among control","Control 83 vs 50","LOC126320956","All samples",1,"Downregulated",0.0398777006598871,1.84713871710279
"Diet contrasts among control","Control 83 vs 50","LOC126277894","All samples",1,"Upregulated",0.0451844902675654,2.55522891063698
"Diet contrasts among infected","Infected 33 vs 50","LOC126268172","All samples; Current outliers removed; Expanded outlier set",3,"Downregulated",0.000350810764216676,5.54242776605656
"Diet contrasts among infected","Infected 33 vs 50","LOC126272706","All samples; Current outliers removed; Expanded outlier set",3,"Downregulated",0.000350810764216676,5.0388844752331
"Diet contrasts among infected","Infected 33 vs 50","LOC126356047","All samples; Current outliers removed; Expanded outlier set",3,"Upregulated",0.000671681370540297,6.7867355240643
