"gene_id","removal_source"
"LOC126268240","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126268485","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274320","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274234","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274282","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274303","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274541","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274316","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274154","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274156","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274157","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274158","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274159","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274160","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274161","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274162","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274163","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274164","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274165","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274167","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274168","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274169","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274249","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274170","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274171","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274094","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274095","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274096","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274097","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274172","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274173","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274174","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274175","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274176","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274099","data/excluded_loci/gregaria_rrna_list.txt"
