"scenario","comparison_type","comparison","phase_class","phase_shift","direction","n_genes"
"Expanded outlier set","Infection within diet","Diet 33: infected vs control","Head phase DEG only","Numerator more gregarious-like","Upregulated",10
"Expanded outlier set","Infection within diet","Diet 33: infected vs control","Head phase DEG only","Numerator more solitarious-like","Downregulated",6
"Expanded outlier set","Infection within diet","Diet 33: infected vs control","Head phase DEG only","Numerator more solitarious-like","Upregulated",14
"Expanded outlier set","Infection within diet","Diet 33: infected vs control","No phase DEG","Not phase-associated","Downregulated",150
"Expanded outlier set","Infection within diet","Diet 33: infected vs control","No phase DEG","Not phase-associated","Upregulated",143
"Expanded outlier set","Infection within diet","Diet 33: infected vs control","No phase reference","Not phase-associated","Downregulated",156
"Expanded outlier set","Infection within diet","Diet 33: infected vs control","No phase reference","Not phase-associated","Upregulated",213
"Expanded outlier set","Infection within diet","Diet 33: infected vs control","Shared head/thorax phase DEG","Mixed head/thorax phase signal","Upregulated",1
"Expanded outlier set","Infection within diet","Diet 33: infected vs control","Shared head/thorax phase DEG","Numerator more gregarious-like","Downregulated",22
"Expanded outlier set","Infection within diet","Diet 33: infected vs control","Shared head/thorax phase DEG","Numerator more gregarious-like","Upregulated",5
"Expanded outlier set","Infection within diet","Diet 33: infected vs control","Shared head/thorax phase DEG","Numerator more solitarious-like","Downregulated",8
"Expanded outlier set","Infection within diet","Diet 33: infected vs control","Shared head/thorax phase DEG","Numerator more solitarious-like","Upregulated",5
"Expanded outlier set","Infection within diet","Diet 33: infected vs control","Thorax phase DEG only","Numerator more gregarious-like","Downregulated",41
"Expanded outlier set","Infection within diet","Diet 33: infected vs control","Thorax phase DEG only","Numerator more gregarious-like","Upregulated",12
"Expanded outlier set","Infection within diet","Diet 33: infected vs control","Thorax phase DEG only","Numerator more solitarious-like","Downregulated",3
"Expanded outlier set","Infection within diet","Diet 33: infected vs control","Thorax phase DEG only","Numerator more solitarious-like","Upregulated",14
"Expanded outlier set","Infection within diet","Diet 50: infected vs control","Head phase DEG only","Numerator more gregarious-like","Downregulated",4
"Expanded outlier set","Infection within diet","Diet 50: infected vs control","Head phase DEG only","Numerator more gregarious-like","Upregulated",16
"Expanded outlier set","Infection within diet","Diet 50: infected vs control","Head phase DEG only","Numerator more solitarious-like","Downregulated",3
"Expanded outlier set","Infection within diet","Diet 50: infected vs control","Head phase DEG only","Numerator more solitarious-like","Upregulated",20
"Expanded outlier set","Infection within diet","Diet 50: infected vs control","No phase DEG","Not phase-associated","Downregulated",185
"Expanded outlier set","Infection within diet","Diet 50: infected vs control","No phase DEG","Not phase-associated","Upregulated",286
