"term","gene"
"ko01100","LOC126355410"
"ko01110","LOC126355410"
"ko01130","LOC126355410"
"ko04141","LOC126355455"
"ko04140","LOC126355471"
"ko04150","LOC126355471"
"ko00561","LOC126355485"
"ko00564","LOC126355485"
"ko01100","LOC126355485"
"ko01110","LOC126355485"
"ko04022","LOC126355586"
"ko04270","LOC126355586"
"ko04540","LOC126355586"
"ko04611","LOC126355586"
"ko04713","LOC126355586"
"ko04714","LOC126355586"
"ko04730","LOC126355586"
"ko04740","LOC126355586"
"ko04923","LOC126355586"
"ko04970","LOC126355586"
"ko00190","LOC126355649"
"ko01100","LOC126355649"
"ko04260","LOC126355649"
"ko04714","LOC126355649"
"ko04932","LOC126355649"
"ko05010","LOC126355649"
"ko05012","LOC126355649"
"ko05016","LOC126355649"
"ko05231","LOC126355684"
"ko01524","LOC126355834"
"ko04010","LOC126355834"
"ko04115","LOC126355834"
"ko04210","LOC126355834"
"ko04214","LOC126355834"
"ko04215","LOC126355834"
"ko04217","LOC126355834"
"ko04620","LOC126355834"
"ko04621","LOC126355834"
"ko04622","LOC126355834"
"ko04624","LOC126355834"
"ko04650","LOC126355834"
"ko04657","LOC126355834"
"ko04668","LOC126355834"
"ko04726","LOC126355834"
"ko04932","LOC126355834"
"ko04933","LOC126355834"
"ko05010","LOC126355834"
"ko05012","LOC126355834"
"ko05014","LOC126355834"
"ko05016","LOC126355834"
"ko05120","LOC126355834"
"ko05133","LOC126355834"
"ko05134","LOC126355834"
"ko05142","LOC126355834"
"ko05145","LOC126355834"
"ko05146","LOC126355834"
"ko05152","LOC126355834"
"ko05161","LOC126355834"
"ko05165","LOC126355834"
"ko05167","LOC126355834"
"ko05168","LOC126355834"
"ko05200","LOC126355834"
"ko05203","LOC126355834"
"ko05205","LOC126355834"
"ko05206","LOC126355834"
"ko05210","LOC126355834"
"ko05222","LOC126355834"
"ko05416","LOC126355834"
"ko00240","LOC126355867"
"ko00250","LOC126355867"
"ko01100","LOC126355867"
"ko00750","LOC126355885"
"ko01100","LOC126355885"
"ko01120","LOC126355885"
"ko04141","LOC126355959"
"ko04145","LOC126355959"
"ko04612","LOC126355959"
"ko05142","LOC126355959"
"ko05166","LOC126355959"
"ko02010","LOC126355999"
"ko04146","LOC126355999"
"ko03008","LOC126356032"
"ko03040","LOC126356037"
"ko04010","LOC126356037"
"ko04141","LOC126356037"
"ko04144","LOC126356037"
"ko04213","LOC126356037"
"ko04612","LOC126356037"
"ko04915","LOC126356037"
"ko05134","LOC126356037"
"ko05145","LOC126356037"
"ko05162","LOC126356037"
"ko05164","LOC126356037"
"ko05169","LOC126356037"
"ko04110","LOC126356122"
"ko04111","LOC126356122"
"ko04120","LOC126356122"
"ko04914","LOC126356122"
"ko00230","LOC126356146"
"ko00240","LOC126356146"
"ko01100","LOC126356146"
"ko03020","LOC126356146"
"ko05016","LOC126356146"
"ko05168","LOC126356146"
"ko05169","LOC126356146"
"ko00071","LOC126356152"
"ko00592","LOC126356152"
"ko01040","LOC126356152"
"ko01100","LOC126356152"
"ko01110","LOC126356152"
"ko01212","LOC126356152"
"ko03320","LOC126356152"
"ko04024","LOC126356152"
"ko04146","LOC126356152"
"ko04142","LOC126283468"
"ko04210","LOC126283468"
