"GeneID","Description"
"LOC126268020","multiple epidermal growth factor-like domains protein 6"
"LOC126268021","uncharacterized LOC126268021"
"LOC126268023","trophoblast glycoprotein-like"
"LOC126268026","juvenile hormone esterase-like"
"LOC126268028","integrin alpha-PS5-like"
"LOC126268029","uncharacterized LOC126268029"
"LOC126268030","integrin alpha-4-like"
"LOC126268031","uncharacterized LOC126268031"
"LOC126268037","glucose dehydrogenase [FAD%2C quinone]-like"
"LOC126268038","tubulin alpha-1 chain-like"
"LOC126268045","E3 SUMO-protein ligase ZBED1-like"
"LOC126268046","uncharacterized LOC126268046"
"LOC126268054","carboxypeptidase B-like"
"LOC126268068","peptidoglycan recognition protein 1-like"
"LOC126268076","uncharacterized LOC126268076"
"LOC126268085","uncharacterized LOC126268085"
"LOC126268088","peptidyl-prolyl cis-trans isomerase 5-like"
"LOC126268090","adhesive plaque matrix protein-like"
"LOC126268093","calcium-activated chloride channel regulator 3A-1-like"
"LOC126268096","methyl farnesoate epoxidase-like"
"LOC126268097","uncharacterized LOC126268097"
"LOC126268098","methyl farnesoate epoxidase-like"
"LOC126268099","methyl farnesoate epoxidase-like"
"LOC126268104","uncharacterized LOC126268104"
"LOC126268114","dual specificity tyrosine-phosphorylation-regulated kinase 4-like"
"LOC126268119","syntaxin-12-like"
"LOC126268126","acidic amino acid decarboxylase GADL1"
"LOC126268128","endoglucanase E-4-like"
"LOC126268131","uncharacterized LOC126268131"
"LOC126268132","proline-rich protein HaeIII subfamily 1-like"
"LOC126268145","uncharacterized LOC126268145"
"LOC126268146","uncharacterized LOC126268146"
"LOC126268161","glucose transporter type 1"
"LOC126268164","adenylate cyclase type 2-like"
"LOC126268170","sodium-coupled monocarboxylate transporter 1-like"
"LOC126268172","sodium-coupled monocarboxylate transporter 2-like"
"LOC126268173","sodium-coupled monocarboxylate transporter 1-like"
"LOC126268174","sodium-coupled monocarboxylate transporter 1-like"
"LOC126268175","opioid-binding protein/cell adhesion molecule homolog"
"LOC126268182","cell growth regulator with RING finger domain protein 1-like"
"LOC126268194","proton-coupled amino acid transporter-like protein CG1139"
"LOC126268197","NTF2-related export protein"
"LOC126268198","peroxisomal acyl-coenzyme A oxidase 3-like"
"LOC126268199","glucose dehydrogenase [FAD%2C quinone]-like"
"LOC126268205","WD repeat-containing protein 47"
"LOC126268218","isopentenyl-diphosphate Delta-isomerase 1-like"
"LOC126268219","putative protein tag-52"
"LOC126268233","anosmin-1"
"LOC126268239","myosin heavy chain kinase B"
"LOC126268397","failed axon connections"
"LOC126268413","uncharacterized LOC126268413"
"LOC126268424","uncharacterized LOC126268424"
"LOC126268485","5.8S ribosomal RNA"
"LOC126268510","U6 spliceosomal RNA"
"LOC126268518","glutamine synthetase 2 cytoplasmic-like"
"LOC126268521","small nucleolar RNA U85"
"LOC126268712","protein scabrous"
"LOC126268728","trypsin-1-like"
"LOC126268805","prostatic spermine-binding protein-like"
"LOC126269044","serine-rich adhesin for platelets-like"
"LOC126269203","uncharacterized LOC126269203"
"LOC126269352","glutamate-gated chloride channel-like"
"LOC126269368","glutamate-gated chloride channel-like"
"LOC126269384","uncharacterized LOC126269384"
"LOC126269400","homeobox protein SIX5-like"
"LOC126269416","thioredoxin-T-like"
"LOC126269449","uncharacterized LOC126269449"
"LOC126269465","proclotting enzyme"
"LOC126269481","peroxidase-like"
"LOC126269513","solute carrier family 22 member 7-like"
"LOC126269593","solute carrier family 22 member 7-like"
"LOC126269609","thyrotropin-releasing hormone-degrading ectoenzyme-like"
"LOC126269625","aminopeptidase Ey-like"
"LOC126269651","synaptic vesicle glycoprotein 2A-like"
"LOC126269699","transcriptional regulator ERG homolog"
"LOC126269762","uncharacterized LOC126269762"
"LOC126269845","protein henna"
"LOC126269938","fibulin-1-like"
"LOC126269964","fibrillin-3-like"
"LOC126269996","aminopeptidase N-like"
"LOC126270012","F-box/LRR-repeat protein 2-like"
"LOC126270168","uncharacterized LOC126270168"
"LOC126270294","beta-1%2C3-glucan-binding protein-like"
"LOC126270515","uncharacterized LOC126270515"
"LOC126270526","uncharacterized LOC126270526"
"LOC126270553","uncharacterized LOC126270553"
"LOC126270569","craniofacial development protein 2-like"
"LOC126270657","cytochrome P450 18a1"
"LOC126270940","uncharacterized LOC126270940"
"LOC126270956","follistatin-related protein 5-like"
"LOC126271190","peroxidase-like"
"LOC126271206","formimidoyltransferase-cyclodeaminase-like"
"LOC126271434","23 kDa integral membrane protein-like"
"LOC126271480","uncharacterized LOC126271480"
"LOC126271496","CD63 antigen-like"
"LOC126271532","CD63 antigen-like"
"LOC126271574","CD63 antigen-like"
"LOC126271618","hatching enzyme 1.2-like"
"LOC126271634","hatching enzyme 1.2-like"
"LOC126271666","uncharacterized LOC126271666"
"LOC126271698","uncharacterized LOC126271698"
"LOC126271709","uncharacterized LOC126271709"
"LOC126271720","uncharacterized LOC126271720"
"LOC126271845","proton-coupled folate transporter-like"
"LOC126271849","uncharacterized LOC126271849"
"LOC126271850","uncharacterized LOC126271850"
"LOC126271856","proton-coupled folate transporter-like"
"LOC126271867","lysosomal acid glucosylceramidase-like"
"LOC126271868","lysosomal acid glucosylceramidase-like"
"LOC126271869","neuronal acetylcholine receptor subunit alpha-7"
"LOC126271871","ras-related protein Rab-23"
"LOC126271872","peptidyl-alpha-hydroxyglycine alpha-amidating lyase 2-like"
"LOC126271873","uncharacterized LOC126271873"
"LOC126271883","uncharacterized LOC126271883"
"LOC126271894","metallophosphoesterase 1"
"LOC126271895","uncharacterized LOC126271895"
"LOC126271905","cytochrome P450 6k1-like"
"LOC126271906","cytochrome P450 6k1-like"
"LOC126271907","cytochrome P450 6k1-like"
"LOC126271908","cytochrome P450 6k1-like"
"LOC126271909","cytochrome P450 6a2-like"
"LOC126271910","cytochrome P450 6B4-like"
"LOC126271913","proton-coupled folate transporter-like"
"LOC126271917","uncharacterized LOC126271917"
"LOC126271921","proton-coupled folate transporter-like"
"LOC126271923","DNA (cytosine-5)-methyltransferase 1-like"
"LOC126271924","BLOC-1-related complex subunit 7"
"LOC126271928","protein shifted-like"
"LOC126271934","Kazal peptide Pr13a-like"
"LOC126271936","larval cuticle protein F1-like"
"LOC126271938","cilia- and flagella-associated protein 251-like"
"LOC126271942","scm-like with four MBT domains protein 1"
"LOC126271945","matrix metalloproteinase-14-like"
"LOC126271948","uncharacterized LOC126271948"
"LOC126271949","chitin synthase chs-2"
"LOC126271954","aromatic-L-amino-acid decarboxylase-like"
"LOC126271955","aromatic-L-amino-acid decarboxylase"
"LOC126271968","uncharacterized LOC126271968"
"LOC126271969","uncharacterized LOC126271969"
"LOC126271975","lysozyme-like"
"LOC126271984","translocon-associated protein subunit beta"
"LOC126272000","WD repeat-containing protein 5"
