"DEG_context","comparison_type","comparison","numerator","denominator","diet","gene_id","log2FoldChange"
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281878",-1.43377769322173
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281906",-1.85800364388482
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281914",-2.94456456683292
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281915",-2.55347627936317
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281934",-1.85297539090276
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281954",-1.0578430069239
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281958",-1.37081141966285
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281974",-6.89682295143328
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281994",2.10575278602465
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126282017",-2.42779077759197
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126282019",-2.95627005160278
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126282021",-2.65063044925106
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126282030",1.45446144864613
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126282034",3.0089512793391
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126282035",1.5516229209657
