"gene_id","experiment_deg","n_experiment_contrasts","experiment_families","experiment_comparisons","experiment_directions","experiment_max_abs_log2FC","experiment_min_padj"
"LOC126335229",TRUE,4,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",1.65496291401153,4.93889177715497e-09
"LOC126335231",TRUE,3,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",1.42009141844277,0.000950783326566269
"LOC126335232",TRUE,3,"Diet contrasts: infected; Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 50: infected vs control; Infected 33 vs 50","Downregulated; Upregulated",9.31092602941259,3.65386227900936e-05
"LOC126335237",TRUE,3,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",6.17039415314478,1.08763313840827e-05
"LOC126335241",TRUE,4,"Diet contrasts: infected; Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control; Infected 33 vs 50","Downregulated; Upregulated",5.7072532294704,2.25581451430444e-05
"LOC126335242",TRUE,4,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",1.69945835794972,5.87696977692886e-10
"LOC126335256",TRUE,4,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Downregulated",1.8876187164332,2.15975296013106e-14
"LOC126335258",TRUE,3,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 83: infected vs control","Downregulated",1.62014110866248,1.9522240029128e-07
"LOC126335261",TRUE,1,"Infection within diet","Diet 50: infected vs control","Upregulated",4.53690461415124,0.0416345927187799
"LOC126335288",TRUE,4,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",1.92041623477605,3.57415871558742e-08
"LOC126335309",TRUE,5,"Diet contrasts: infected; Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control; Infected 83 vs 33","Downregulated",2.99567310045619,1.06221555904642e-08
"LOC126335320",TRUE,3,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control","Downregulated",2.17836012899909,0.000691843515164284
"LOC126335321",TRUE,1,"Pooled infection across diets","All diets: infected vs control","Downregulated",1.48744156052294,0.00438928423709564
"LOC126335329",TRUE,1,"Pooled infection across diets","All diets: infected vs control","Upregulated",1.68105963530182,0.0127814276995475
"LOC126335345",TRUE,2,"Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control","Downregulated",1.06046159793302,0.0255726019967459
"LOC126335348",TRUE,4,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",3.04015653491642,3.26236464575513e-15
"LOC126335350",TRUE,2,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 50: infected vs control","Upregulated",2.31649168661853,3.65414665336966e-06
"LOC126335352",TRUE,2,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control","Downregulated",1.37705392622061,2.6021478182006e-09
"LOC126335382",TRUE,4,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",2.51567750297519,2.00276609870096e-08
"LOC126335387",TRUE,1,"Infection within diet","Diet 50: infected vs control","Upregulated",1.02248253581531,0.0113179312505646
"LOC126335406",TRUE,1,"Pooled infection across diets","All diets: infected vs control","Downregulated",1.10971812450705,0.0133502189746407
"LOC126335428",TRUE,1,"Infection within diet","Diet 33: infected vs control","Downregulated",1.31118733951096,0.0102575914705418
