"heatmap_row_order","gene_id","Description","DEG_scope","n_infection_diets","infection_diets","directions","comparisons","max_abs_log2FC","min_padj","max_abs_sample_z","sample_with_max_abs_z","sample_deviation_direction"
926,"LOC126343351","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.02155079025298,0.0350696946513687,1.98181991028495,"1014","Higher than gene average"
927,"LOC126346622","Chitinase activity. It is involved in the biological process described with carbohydrate metabolic process","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.56989228864419,0.0004040428797256,1.83031684667289,"1040","Lower than gene average"
928,"LOC126291749","ML domain","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.24813981962438,0.00180699736924655,2.44459934285797,"1050","Higher than gene average"
929,"LOC126355789","Belongs to the glycosyltransferase 11 family","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.50826158035762,0.0221659400374155,3.98405493099844,"1020","Higher than gene average"
930,"LOC126334704","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.53971638116131,0.0374182926053614,2.68712564691268,"1027","Higher than gene average"
931,"LOC126282167","It is involved in the biological process described with lipid metabolic process","DEG in 2 diets",2,"33; 50","Higher in infected","Diet 33; Diet 50: infected vs control",1.61142293603213,0.00602530879768556,2.56911198155335,"1020","Higher than gene average"
932,"LOC126294953","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",3.62439901386586,0.0097899020754367,2.94339295452991,"1014","Higher than gene average"
933,"LOC126292145","meprin and TRAF homology","DEG in 2 diets",2,"33; 50","Higher in infected","Diet 33; Diet 50: infected vs control",2.85862450790455,0.00376556705186562,3.10503306542413,"1055","Higher than gene average"
934,"LOC126270657","heme binding. It is involved in the biological process described with oxidation-reduction process","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",2.83965173478104,0.000373506635347711,2.96107072960635,"1055","Higher than gene average"
935,"LOC126276175","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.35055391699908,8.36679101707231e-05,2.29838865235652,"1006","Higher than gene average"
936,"LOC126272321","Olfactomedin-like domains","DEG in 2 diets",2,"33; 50","Higher in infected","Diet 33; Diet 50: infected vs control",2.11404250689668,2.96427709764149e-08,1.72845806473134,"1054","Higher than gene average"
937,"LOC126276148","belongs to the gamma- glutamyl phosphate reductase family","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",2.11829613119668,1.46338284860087e-16,2.3675060335493,"1027","Higher than gene average"
938,"LOC126284502","Sidestep protein","DEG in 2 diets",2,"50; 83","Higher in infected","Diet 50; Diet 83: infected vs control",1.49516219567467,0.000697341295873909,1.94318616258784,"1002","Lower than gene average"
939,"LOC126282077","Belongs to the AB hydrolase superfamily. Lipase family","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",2.06905411639209,2.2341995819009e-11,2.21261940300606,"1005","Higher than gene average"
940,"LOC126339239","-","DEG in 3 diets",3,"33; 50; 83","Higher in infected","Diet 33; Diet 50; Diet 83: infected vs control",1.22603760947235,0.0149036035446533,1.71148882834311,"1014","Higher than gene average"
941,"LOC126295146","Metal dependent phosphohydrolases with conserved 'HD' motif.","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.23914580007363,9.39202923569946e-05,2.22587839884313,"1016","Higher than gene average"
942,"LOC126295147","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.42294892630062,0.0221518519522216,2.25669025315786,"1055","Higher than gene average"
943,"LOC126272139","Calcium channel","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.84163130413835,0.000924337779286297,3.32323801451684,"1016","Higher than gene average"
944,"LOC126272322","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.61267484996351,0.0135775659922472,2.58721178175354,"1027","Higher than gene average"
945,"LOC126267462","Belongs to the CRISP family","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",3.59717911395707,0.0305964061103552,3.51109698767586,"1021","Higher than gene average"
946,"LOC126354766","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.01096646145952,0.00915632458874063,2.20027890090541,"1020","Lower than gene average"
947,"LOC126278447","Catalyzes the formation of S-adenosylmethionine from methionine and ATP","DEG in 2 diets",2,"33; 50","Higher in infected","Diet 33; Diet 50: infected vs control",1.51000951229724,9.7188354658601e-07,2.18802909345164,"1037","Lower than gene average"
948,"LOC126335467","Belongs to the serpin family","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",2.46485905064373,2.85161569225132e-09,1.8230903208813,"1055","Higher than gene average"
949,"LOC126292244","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.00175681514086,0.000437043061138276,2.26524063934356,"1055","Higher than gene average"
950,"LOC126339036","Belongs to the short-chain dehydrogenases reductases (SDR) family","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.20820104506342,0.0192982767142075,2.18614262513396,"1003","Lower than gene average"
951,"LOC126346021","Belongs to the peptidase C1 family","DEG in 2 diets",2,"33; 50","Higher in infected","Diet 33; Diet 50: infected vs control",1.68500636703264,4.97177529598833e-08,2.22277123866206,"1027","Higher than gene average"
