"heatmap_row_order","gene_id","Description","DEG_context","phase_class","n_deg_contrasts","comparisons","directions","max_abs_log2FC","min_padj","max_abs_sample_z","sample_with_max_abs_z","sample_deviation_direction","cluster_id"
1731,"LOC126325869","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",5.20715678362413,0.0410003880225983,2.77118094802408,1007,"Higher than gene average","upper_branch_k4_4"
1732,"LOC126323764","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",6.62349727433683,0.00568934472392954,2.91491972137498,1007,"Higher than gene average","upper_branch_k4_4"
1733,"LOC126326571","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",6.63521608376445,0.00572810938099381,3.18511086272004,1037,"Higher than gene average","upper_branch_k4_4"
1734,"LOC126317107","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",6.63945250149902,0.00533172096011034,3.3275576565775,1037,"Higher than gene average","upper_branch_k4_4"
1735,"LOC126325915","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",6.47647015278412,0.00533172096011034,3.02944967767108,1007,"Higher than gene average","upper_branch_k4_4"
1736,"LOC126316928","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",5.29721537441218,0.0109921724745018,3.30862560218785,1037,"Higher than gene average","upper_branch_k4_4"
1737,"LOC126329076","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",5.86840934642472,0.0133900587581671,3.15486802414709,1037,"Higher than gene average","upper_branch_k4_4"
1738,"LOC126323910","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",6.01574378810949,0.00815652603085269,3.06670925667148,1037,"Higher than gene average","upper_branch_k4_4"
1739,"LOC126318319","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",5.2193580346202,0.0177129324786168,3.17382124787509,1037,"Higher than gene average","upper_branch_k4_4"
1740,"LOC126322534","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",5.36569422297895,0.00815652603085269,3.39963861008777,1037,"Higher than gene average","upper_branch_k4_4"
