"gene_id","Diet 33","Diet 50","Diet 83","intersection"
"LOC126284858",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126284862",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284863",TRUE,FALSE,TRUE,"Diet 33 + Diet 83"
"LOC126284872",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284880",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126284892",FALSE,FALSE,TRUE,"Diet 83"
"LOC126284897",FALSE,TRUE,TRUE,"Diet 50 + Diet 83"
"LOC126284898",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126284900",FALSE,FALSE,TRUE,"Diet 83"
"LOC126284901",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126284902",TRUE,FALSE,FALSE,"Diet 33"
"LOC126284908",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126284914",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126284920",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284936",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126284941",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126284942",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126284948",TRUE,FALSE,FALSE,"Diet 33"
"LOC126284950",FALSE,FALSE,TRUE,"Diet 83"
"LOC126284963",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284968",FALSE,FALSE,TRUE,"Diet 83"
"LOC126284971",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284995",FALSE,FALSE,TRUE,"Diet 83"
"LOC126285012",FALSE,FALSE,TRUE,"Diet 83"
"LOC126285032",FALSE,TRUE,FALSE,"Diet 50"
"LOC126285050",FALSE,TRUE,FALSE,"Diet 50"
"LOC126285078",FALSE,TRUE,FALSE,"Diet 50"
