"canonical_gene_order","gene_id","Description","gene_biotype","DEG_context","comparisons","directions","max_abs_log2FC","min_padj","candidate_k2","candidate_k3","candidate_k4"
93,"LOC126271532","CD63 antigen-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.71370737908155,9.78322115973214e-05,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
94,"LOC126297692","ras-related protein Rab-3","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.55659640449538,0.000390839362684237,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
95,"LOC126336454","neuropeptide SIFamide receptor-like","protein_coding","Infection within diet","infection_average_all_diets","Average control",1.06741272019993,0.0160247292464873,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
96,"LOC126295342","uncharacterized LOC126295342","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.18972187709022,0.00024932849291283,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
97,"LOC126354260","dopamine receptor 1-like","protein_coding","Infection within diet","infection_average_all_diets","Average control",1.07531114213391,0.0203297080615769,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
98,"LOC126272678","zinc transporter ZIP3-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",2.31554017797839,5.698672849944e-06,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
99,"LOC126291785","insulin receptor-related protein-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33","Average control; Control diet 33",2.15519437232834,4.01488064836045e-05,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
100,"LOC126266913","serine/arginine repetitive matrix protein 1-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.72537363878817,5.91909528973037e-05,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
101,"LOC126292020","open rectifier potassium channel protein 1","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.90314659699901,2.55558450916824e-05,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
102,"LOC126277966","rhophilin-2","protein_coding","Infection within diet","infection_diet33","Control diet 33",1.24625958945804,0.0101564722727194,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
103,"LOC126267042","beta-3 adrenergic receptor-like","protein_coding","Infection within diet","infection_average_all_diets","Average control",1.31083206264482,0.00137315431948039,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
104,"LOC126299004","circadian locomoter output cycles protein kaput","protein_coding","Infection within diet","infection_average_all_diets","Average control",1.1596944443909,0.00338664603360691,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
105,"LOC126354288","uncharacterized LOC126354288","protein_coding","Infection within diet","infection_average_all_diets","Average control",1.0008790428139,0.037881122407073,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
