"heatmap_row_order","gene_id","Description","DEG_context","phase_class","n_deg_contrasts","comparisons","directions","max_abs_log2FC","min_padj","max_abs_sample_z","sample_with_max_abs_z","sample_deviation_direction"
3208,"LOC126284462","N-acetylmuramoyl-L-alanine amidase activity. It is involved in the biological process described with peptidoglycan catabolic process","Infection within diet","No phase DEG",1,"Diet 50: infected vs control","Upregulated",1.88083418837174,0.0114967683590507,3.02325345903112,"1057","Higher than gene average"
3209,"LOC126356149","Metal ion binding","Infection within diet","No phase DEG",1,"Diet 50: infected vs control","Upregulated",1.66873766362492,0.0483802120911733,3.08899811016651,"1058","Higher than gene average"
3210,"LOC126292134","no description","Infection within diet","No phase DEG",2,"Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",4.47676911954911,0.000176394785119087,2.76162850291392,"1027","Higher than gene average"
3211,"LOC126334994","Sulfate permease family","Infection within diet","No phase DEG",3,"Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",3.67299168774858,0.00415964780122158,3.25389142531111,"1055","Higher than gene average"
3212,"LOC126336549","no description","Infection within diet","No phase DEG",2,"Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",4.78824832167641,0.0232669204440103,2.81146895327603,"1055","Higher than gene average"
3213,"LOC126335446","no description","Infection within diet","No phase DEG",2,"Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",1.62783194734326,0.00643384410146894,2.88192015348871,"1055","Higher than gene average"
3214,"LOC126336076","Belongs to the serpin family","Infection + diet","No phase DEG",2,"Diet 50: infected vs control; Infected 33 vs 50","Downregulated; Upregulated",4.35485805316759,0.00352015320876132,3.38337303129875,"1055","Higher than gene average"
3215,"LOC126280573","no description","Infection within diet","Head phase DEG only",2,"Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",4.89441123646046,0.0298512684631269,2.57641184718012,"1055","Higher than gene average"
3216,"LOC126335013","no description","Infection within diet","No phase DEG",1,"Diet 50: infected vs control","Upregulated",1.50178211583693,0.00528817462553245,2.10361619643403,"1020","Lower than gene average"
3217,"LOC126267985","no description","Infection within diet","No phase DEG",1,"Diet 50: infected vs control","Upregulated",2.7082156530315,0.00136039202155927,2.84030070530493,"1027","Higher than gene average"
3218,"LOC126335544","Belongs to the serpin family","Infection within diet","No phase DEG",1,"Diet 50: infected vs control","Upregulated",1.68429983647194,0.0172933582412941,2.40977736642165,"1024","Lower than gene average"
3219,"LOC126267504","Peptidase family M20/M25/M40","Infection within diet","No phase DEG",1,"Diet 50: infected vs control","Upregulated",1.07015723705768,0.0186368482761368,2.85476977230083,"1027","Higher than gene average"
